,carat,cut,color,clarity,depth,table,price,x,y,z
102,0.74,Very Good,3,2,62.2,59.0,2762,5.73,5.82,3.59
103,0.73,Ideal,4,3,62.6,56.0,2762,5.77,5.74,3.6
104,0.73,Ideal,4,3,62.7,53.0,2762,5.8,5.75,3.62
105,0.8,Premium,4,1,61.7,58.0,2762,5.98,5.94,3.68
106,0.71,Ideal,3,3,62.4,54.0,2762,5.72,5.76,3.58
107,0.7,Ideal,5,3,60.7,58.0,2762,5.73,5.76,3.49
108,0.8,Ideal,4,1,59.9,59.0,2762,6.01,6.07,3.62
109,0.71,Ideal,6,1,62.3,56.0,2762,5.73,5.69,3.56
110,0.74,Ideal,5,2,62.3,54.0,2762,5.8,5.83,3.62
111,0.7,Very Good,4,3,61.7,63.0,2762,5.64,5.61,3.47
112,0.7,Fair,4,3,64.5,57.0,2762,5.57,5.53,3.58
113,0.7,Premium,4,3,61.6,60.0,2762,5.65,5.59,3.46
114,0.91,Premium,2,2,61.4,56.0,2763,6.09,5.97,3.7
115,0.61,Very Good,6,5,59.6,57.0,2763,5.56,5.58,3.32
116,0.91,Fair,2,1,64.4,57.0,2763,6.11,6.09,3.93
117,0.77,Ideal,2,3,62.0,56.0,2763,5.89,5.86,3.64
118,0.71,Very Good,6,2,63.6,58.0,2764,5.64,5.68,3.6
119,0.71,Ideal,6,2,61.9,59.0,2764,5.69,5.72,3.53
120,0.7,Very Good,5,3,62.6,60.0,2765,5.62,5.65,3.53
121,0.77,Very Good,2,4,61.3,60.0,2765,5.88,5.9,3.61
122,0.63,Premium,5,6,60.9,60.0,2765,5.52,5.55,3.37
123,0.71,Very Good,4,4,60.1,62.0,2765,5.74,5.77,3.46
124,0.71,Premium,4,4,61.8,59.0,2765,5.69,5.73,3.53
125,0.76,Ideal,2,2,61.2,57.0,2765,5.88,5.91,3.61
126,0.64,Ideal,3,6,61.9,56.0,2766,5.53,5.56,3.43
127,0.71,Premium,3,3,60.9,57.0,2766,5.78,5.75,3.51
128,0.71,Premium,3,3,59.8,56.0,2766,5.89,5.81,3.5
129,0.7,Very Good,6,3,61.8,55.0,2767,5.68,5.72,3.52
130,0.7,Very Good,4,4,60.0,57.0,2767,5.8,5.87,3.5
131,0.71,Ideal,6,1,61.6,55.0,2767,5.74,5.76,3.54
132,0.71,Very Good,3,4,63.3,59.0,2768,5.52,5.61,3.52
133,0.73,Very Good,6,2,60.2,56.0,2768,5.83,5.87,3.52
134,0.7,Very Good,6,2,61.1,58.0,2768,5.66,5.73,3.48
135,0.7,Ideal,5,2,60.9,57.0,2768,5.73,5.76,3.5
136,0.71,Premium,6,1,61.7,59.0,2768,5.71,5.67,3.51
137,0.74,Ideal,1,2,61.3,56.0,2769,5.82,5.86,3.57
138,0.71,Premium,6,3,62.5,60.0,2770,5.65,5.61,3.52
139,0.73,Premium,3,3,61.4,59.0,2770,5.83,5.76,3.56
140,0.76,Very Good,4,2,62.9,57.0,2770,5.79,5.81,3.65
141,0.76,Ideal,6,1,62.4,57.0,2770,5.78,5.83,3.62
142,0.71,Ideal,4,2,60.7,56.0,2770,5.77,5.8,3.51
143,0.73,Premium,3,3,60.7,58.0,2770,5.87,5.82,3.55
144,0.73,Premium,3,4,61.5,58.0,2770,5.79,5.75,3.55
145,0.73,Ideal,6,1,59.9,57.0,2770,5.92,5.89,3.54
146,0.73,Premium,3,3,59.2,59.0,2770,5.92,5.87,3.49
147,0.72,Very Good,2,5,60.3,56.0,2771,5.81,5.83,3.51
148,0.73,Very Good,4,2,61.7,60.0,2771,5.79,5.82,3.58
149,0.71,Ideal,3,3,61.9,57.0,2771,5.73,5.77,3.56
150,0.79,Ideal,4,1,61.9,55.0,2771,5.97,5.92,3.68
151,0.73,Very Good,2,6,60.4,59.0,2772,5.83,5.89,3.54
152,0.8,Very Good,4,1,61.0,57.0,2772,6.01,6.03,3.67
153,0.58,Ideal,3,6,61.5,55.0,2772,5.39,5.44,3.33
154,0.58,Ideal,4,6,61.7,56.0,2772,5.33,5.37,3.3
155,0.71,Good,5,3,59.2,61.0,2772,5.8,5.88,3.46
156,0.75,Ideal,6,1,61.3,56.0,2773,5.85,5.89,3.6
157,1.17,Very Good,0,0,60.2,61.0,2774,6.83,6.9,4.13
158,0.6,Ideal,5,4,61.7,55.0,2774,5.41,5.44,3.35
159,0.7,Ideal,5,2,62.7,55.0,2774,5.68,5.74,3.58
160,0.83,Good,1,3,64.6,54.0,2774,5.85,5.88,3.79
161,0.74,Very Good,4,3,61.3,61.0,2775,5.8,5.84,3.57
162,0.72,Very Good,3,3,63.7,56.4,2776,5.62,5.69,3.61
163,0.71,Premium,5,3,62.7,58.0,2776,5.74,5.68,3.58
164,0.71,Ideal,5,3,62.2,57.0,2776,5.79,5.62,3.55
165,0.54,Ideal,5,5,61.6,56.0,2776,5.25,5.27,3.24
166,0.54,Ideal,5,5,61.5,57.0,2776,5.24,5.26,3.23
167,0.72,Ideal,3,2,61.8,56.0,2776,5.72,5.75,3.55
168,0.72,Ideal,3,2,60.7,56.0,2776,5.79,5.82,3.53
169,0.72,Good,3,3,59.7,60.5,2776,5.8,5.84,3.47
170,0.71,Ideal,3,2,60.5,56.0,2776,5.8,5.76,3.5
171,0.7,Very Good,6,4,62.7,58.0,2777,5.66,5.73,3.57
172,0.71,Premium,4,3,62.1,58.0,2777,5.67,5.7,3.53
173,0.71,Very Good,4,3,62.8,57.0,2777,5.64,5.69,3.56
174,0.71,Good,4,3,63.8,58.0,2777,5.61,5.64,3.59
175,0.7,Ideal,5,3,62.1,55.0,2777,5.7,5.67,3.53
176,0.7,Premium,5,3,61.1,60.0,2777,5.71,5.64,3.47
177,0.7,Premium,5,2,60.0,59.0,2777,5.79,5.75,3.46
178,0.7,Premium,5,2,61.2,57.0,2777,5.73,5.68,3.49
179,0.7,Premium,5,2,62.7,59.0,2777,5.67,5.63,3.54
180,0.7,Premium,5,2,61.0,57.0,2777,5.73,5.68,3.48
181,0.7,Premium,5,2,61.0,58.0,2777,5.78,5.72,3.51
182,0.7,Ideal,5,2,61.4,57.0,2777,5.76,5.7,3.52
183,0.72,Premium,4,2,61.8,61.0,2777,5.82,5.71,3.56
184,0.7,Very Good,5,2,59.9,63.0,2777,5.76,5.7,3.43
185,0.7,Premium,5,2,61.3,58.0,2777,5.71,5.68,3.49
186,0.7,Premium,5,2,60.5,58.0,2777,5.77,5.74,3.48
187,0.7,Good,5,3,64.1,59.0,2777,5.64,5.59,3.6
188,0.78,Premium,4,2,62.4,58.0,2777,5.83,5.8,3.63
189,0.7,Very Good,5,2,63.2,60.0,2777,5.6,5.51,3.51
190,0.52,Ideal,4,6,61.3,55.0,2778,5.19,5.22,3.19
191,0.73,Very Good,2,3,60.8,56.0,2779,5.82,5.84,3.55
192,0.74,Ideal,5,2,61.7,56.0,2779,5.84,5.8,3.59
193,0.7,Very Good,4,3,63.6,57.0,2780,5.61,5.65,3.58
194,0.77,Premium,3,3,61.2,58.0,2780,5.9,5.93,3.62
195,0.71,Ideal,4,3,62.1,54.0,2780,5.68,5.72,3.54
196,0.74,Ideal,3,4,61.5,55.0,2780,5.81,5.86,3.59
197,0.7,Ideal,3,4,61.4,59.0,2780,5.64,5.73,3.49
198,1.01,Premium,4,0,61.8,60.0,2781,6.39,6.36,3.94
199,0.77,Ideal,2,2,62.2,56.0,2781,5.83,5.88,3.64
200,0.78,Ideal,2,2,61.2,56.0,2781,5.92,5.99,3.64
201,0.72,Very Good,2,4,60.6,63.0,2782,5.83,5.76,3.51
202,0.76,Ideal,3,3,61.3,56.0,2782,5.9,5.94,3.63
203,0.7,Premium,5,4,62.9,60.0,2782,5.62,5.54,3.51
204,0.75,Very Good,6,1,63.1,58.0,2782,5.78,5.73,3.63
205,0.72,Ideal,6,2,60.8,57.0,2782,5.76,5.75,3.5
206,0.72,Premium,6,2,62.7,59.0,2782,5.73,5.69,3.58
207,0.7,Premium,6,2,62.8,60.0,2782,5.68,5.66,3.56
208,0.75,Premium,4,2,61.4,59.0,2782,5.88,5.85,3.6
209,0.52,Ideal,4,7,62.2,55.0,2783,5.14,5.18,3.21
210,0.72,Very Good,4,3,63.0,54.0,2784,5.69,5.73,3.6
211,0.79,Very Good,2,4,63.7,56.0,2784,5.85,5.92,3.75
212,0.72,Very Good,4,3,63.6,58.0,2787,5.66,5.69,3.61
213,0.51,Ideal,4,6,62.0,57.0,2787,5.11,5.15,3.18
214,0.64,Ideal,6,4,61.5,56.0,2787,5.54,5.55,3.41
215,0.7,Very Good,2,6,60.5,60.0,2788,5.74,5.77,3.48
216,0.83,Very Good,1,4,61.1,60.0,2788,6.07,6.1,3.72
217,0.76,Ideal,1,5,61.8,56.0,2788,5.85,5.87,3.62
218,0.71,Good,6,3,63.3,56.0,2788,5.64,5.68,3.58
219,0.71,Ideal,4,2,62.5,55.0,2788,5.71,5.65,3.55
220,1.01,Fair,5,0,64.5,58.0,2788,6.29,6.21,4.03
221,1.01,Premium,2,1,62.7,59.0,2788,6.31,6.22,3.93
222,0.77,Good,4,2,64.2,52.0,2789,5.81,5.77,3.72
223,0.76,Good,5,2,63.7,54.0,2789,5.76,5.85,3.7
224,0.76,Premium,5,2,60.4,58.0,2789,5.92,5.94,3.58
225,0.76,Premium,5,2,61.8,58.0,2789,5.82,5.86,3.61
226,1.05,Very Good,0,1,63.2,56.0,2789,6.49,6.45,4.09
227,0.81,Ideal,3,1,61.6,56.0,2789,5.97,6.01,3.69
228,0.7,Ideal,5,2,61.6,56.0,2789,5.72,5.75,3.53
229,0.55,Ideal,3,7,60.9,57.0,2789,5.28,5.3,3.22
230,0.81,Good,3,1,61.0,61.0,2789,5.94,5.99,3.64
231,0.63,Premium,5,5,62.1,57.0,2789,5.48,5.41,3.38
232,0.63,Premium,5,6,60.9,60.0,2789,5.55,5.52,3.37
233,0.77,Premium,2,4,61.3,60.0,2789,5.9,5.88,3.61
234,0.64,Ideal,3,7,61.3,56.0,2790,5.54,5.58,3.41
235,0.83,Ideal,4,1,62.3,55.0,2790,6.02,6.05,3.76
236,0.71,Premium,4,4,60.1,62.0,2790,5.77,5.74,3.46
237,0.71,Premium,4,4,61.8,59.0,2790,5.73,5.69,3.53
238,0.87,Very Good,1,2,63.6,55.8,2791,6.07,6.1,3.87
239,0.73,Ideal,5,2,62.2,56.0,2791,5.74,5.78,3.58
240,0.71,Premium,5,2,59.2,59.0,2792,5.83,5.86,3.46
241,0.71,Premium,5,2,61.8,59.0,2792,5.7,5.75,3.54
242,0.71,Ideal,5,2,61.3,55.0,2792,5.72,5.77,3.52
243,0.7,Premium,4,4,62.1,60.0,2792,5.71,5.65,3.53
244,0.7,Premium,4,4,60.7,60.0,2792,5.78,5.75,3.5
245,0.76,Premium,2,5,59.6,57.0,2792,5.91,5.86,3.51
246,0.7,Ideal,4,4,62.2,56.0,2792,5.73,5.68,3.55
247,0.79,Very Good,3,2,60.6,57.0,2793,5.98,6.06,3.65
248,0.7,Very Good,5,3,62.9,57.0,2793,5.66,5.69,3.57
249,0.7,Good,5,3,64.1,55.0,2793,5.6,5.66,3.61
250,0.76,Ideal,1,3,61.3,56.0,2793,5.87,5.91,3.61
251,0.73,Ideal,2,3,62.7,55.0,2793,5.72,5.76,3.6
252,0.79,Very Good,5,2,63.2,56.0,2794,5.91,5.86,3.72
253,0.71,Very Good,5,3,60.7,56.0,2795,5.81,5.82,3.53
254,0.81,Premium,1,5,61.9,60.0,2795,5.91,5.86,3.64
255,0.81,Ideal,4,1,62.6,55.0,2795,5.92,5.96,3.72
256,0.72,Good,4,4,60.7,60.0,2795,5.74,5.72,3.48
257,0.72,Premium,6,1,62.0,60.0,2795,5.73,5.69,3.54
258,0.72,Premium,1,7,63.0,57.0,2795,5.72,5.7,3.6
259,0.72,Premium,3,3,62.9,57.0,2795,5.73,5.65,3.58
260,0.73,Good,5,2,63.2,58.0,2796,5.7,5.76,3.62
261,0.81,Very Good,2,1,61.3,59.0,2797,5.94,6.01,3.66
262,0.81,Very Good,5,2,60.3,60.0,2797,6.07,6.1,3.67
263,0.71,Premium,6,2,62.7,60.0,2797,5.67,5.71,3.57
264,0.71,Premium,6,2,61.3,58.0,2797,5.73,5.75,3.52
265,0.71,Premium,6,2,61.6,60.0,2797,5.74,5.69,3.52
266,0.57,Ideal,4,5,61.9,55.0,2797,5.34,5.35,3.31
267,0.51,Ideal,6,6,61.7,56.0,2797,5.12,5.16,3.17
268,0.72,Ideal,3,3,61.9,58.0,2797,5.72,5.75,3.55
269,0.74,Ideal,2,4,61.8,58.0,2797,5.77,5.81,3.58
270,0.74,Ideal,2,4,61.6,56.0,2797,5.81,5.82,3.58
271,0.8,Premium,4,1,61.0,57.0,2797,6.03,6.01,3.67
272,0.8,Very Good,2,3,63.4,60.0,2797,5.92,5.82,3.72
273,0.77,Ideal,1,4,61.5,59.0,2798,5.87,5.91,3.62
274,0.82,Ideal,4,1,62.4,54.0,2799,5.97,6.02,3.74
275,0.78,Ideal,6,2,61.9,57.0,2799,5.91,5.86,3.64
276,0.6,Very Good,3,7,61.6,56.0,2800,5.43,5.46,3.35
277,0.9,Good,1,1,62.2,59.0,2800,6.07,6.11,3.79
278,0.7,Premium,5,4,62.2,58.0,2800,5.6,5.66,3.5
279,0.9,Very Good,1,1,61.3,56.0,2800,6.17,6.23,3.8
280,0.83,Ideal,3,2,62.3,57.0,2800,5.99,6.08,3.76
281,0.83,Ideal,3,2,61.8,57.0,2800,6.03,6.07,3.74
282,0.83,Very Good,2,2,62.5,59.0,2800,5.95,6.02,3.74
283,0.74,Premium,3,4,62.9,60.0,2800,5.74,5.68,3.59
284,0.79,Ideal,1,4,61.8,59.0,2800,5.92,5.95,3.67
285,0.61,Ideal,3,7,62.3,56.0,2800,5.43,5.45,3.39
286,0.96,Ideal,4,0,60.7,55.0,2801,6.37,6.41,3.88
287,0.73,Ideal,4,3,62.5,55.0,2801,5.8,5.76,3.61
288,0.73,Premium,4,3,62.7,58.0,2801,5.76,5.7,3.59
289,0.75,Ideal,2,2,60.4,57.0,2801,5.93,5.96,3.59
290,0.71,Premium,4,3,62.1,58.0,2801,5.7,5.67,3.53
291,0.71,Good,4,3,63.8,58.0,2801,5.64,5.61,3.59
292,0.71,Premium,4,3,62.8,57.0,2801,5.69,5.64,3.56
293,1.04,Premium,3,0,62.2,58.0,2801,6.46,6.41,4.0
294,1.0,Premium,0,1,62.3,58.0,2801,6.45,6.34,3.98
295,0.87,Very Good,3,1,59.9,58.0,2802,6.19,6.23,3.72
296,0.53,Ideal,4,7,61.9,54.0,2802,5.22,5.25,3.24
297,0.72,Premium,5,3,63.0,55.0,2802,5.79,5.61,3.59
298,0.72,Premium,4,4,62.4,58.0,2802,5.83,5.7,3.6
299,0.7,Very Good,4,3,62.9,58.0,2803,5.63,5.65,3.55
300,0.74,Very Good,5,2,63.5,56.0,2803,5.74,5.79,3.66
301,0.71,Ideal,3,3,61.3,56.0,2803,5.75,5.71,3.51
302,0.73,Ideal,5,2,60.6,54.0,2803,5.84,5.89,3.55
303,0.71,Premium,4,3,62.6,58.0,2803,5.7,5.67,3.56
304,0.71,Premium,3,4,62.4,61.0,2803,5.7,5.65,3.54
305,0.77,Premium,3,3,61.3,57.0,2803,5.93,5.88,3.62
306,0.71,Premium,3,3,59.9,60.0,2803,5.81,5.77,3.47
307,0.78,Premium,3,3,60.8,58.0,2803,6.03,5.95,3.64
308,0.71,Very Good,3,4,63.5,55.0,2803,5.66,5.64,3.59
309,0.91,Ideal,6,1,62.2,57.0,2803,6.21,6.15,3.85
310,0.71,Very Good,5,3,63.8,58.0,2804,5.62,5.66,3.6
311,0.71,Very Good,5,3,64.0,57.0,2804,5.66,5.68,3.63
312,0.8,Very Good,5,1,62.5,56.0,2804,5.88,5.96,3.7
313,0.7,Very Good,6,2,62.3,58.0,2804,5.69,5.73,3.56
314,0.72,Ideal,4,4,61.7,57.0,2804,5.74,5.77,3.55
315,0.72,Very Good,4,4,62.2,58.0,2804,5.75,5.7,3.56
316,0.82,Ideal,2,3,61.5,56.0,2804,6.01,6.08,3.72
317,0.7,Ideal,6,2,61.0,59.0,2804,5.68,5.7,3.47
318,0.72,Ideal,6,2,62.2,56.0,2804,5.74,5.77,3.58
319,0.72,Ideal,6,2,61.5,54.0,2804,5.77,5.8,3.56
320,0.74,Premium,4,3,61.7,58.0,2805,5.85,5.78,3.59
321,0.74,Premium,4,3,61.9,56.0,2805,5.8,5.77,3.58
322,0.73,Ideal,5,1,61.8,58.0,2805,5.77,5.81,3.58
323,0.73,Premium,4,3,62.5,57.0,2805,5.75,5.7,3.58
324,0.72,Ideal,3,3,62.8,56.0,2805,5.74,5.7,3.59
325,0.82,Good,3,3,64.0,57.0,2805,5.92,5.89,3.78
326,0.81,Very Good,3,2,62.5,60.0,2806,5.89,5.94,3.69
327,0.75,Very Good,2,6,60.6,58.0,2806,5.85,5.9,3.56
328,0.7,Ideal,4,2,61.6,55.0,2806,5.72,5.74,3.53
329,0.71,Very Good,4,4,62.2,58.0,2807,5.66,5.72,3.54
330,0.71,Very Good,4,4,60.0,57.0,2807,5.84,5.9,3.52
331,0.93,Premium,0,1,61.9,57.0,2807,6.21,6.19,3.84
332,0.8,Very Good,2,3,62.8,57.0,2808,5.87,5.91,3.7
333,0.7,Very Good,4,4,62.0,57.0,2808,5.64,5.71,3.52
334,0.75,Very Good,3,3,63.4,56.0,2808,5.78,5.74,3.65
335,0.58,Ideal,5,5,60.9,56.0,2808,5.41,5.43,3.3
336,0.73,Very Good,6,2,63.1,57.0,2808,5.74,5.7,3.61
337,0.81,Very Good,4,2,63.1,59.0,2809,5.85,5.79,3.67
338,0.81,Premium,6,1,59.2,57.0,2809,6.15,6.05,3.61
339,0.71,Premium,4,2,60.7,54.0,2809,5.84,5.8,3.53
340,1.2,Fair,4,0,64.6,56.0,2809,6.73,6.66,4.33
341,0.7,Very Good,4,4,61.8,56.0,2810,5.63,5.7,3.5
342,0.7,Very Good,4,4,59.9,60.0,2810,5.77,5.84,3.48
343,0.74,Ideal,6,1,61.7,55.0,2810,5.81,5.85,3.6
344,0.7,Good,4,4,62.8,61.0,2810,5.57,5.61,3.51
345,0.8,Good,3,2,62.7,57.0,2810,5.84,5.93,3.69
346,0.75,Very Good,4,2,63.4,58.0,2811,5.72,5.76,3.64
347,0.83,Very Good,6,2,63.5,54.0,2811,5.98,5.95,3.79
348,0.7,Very Good,3,4,63.0,60.0,2812,5.57,5.64,3.53
349,0.7,Very Good,4,3,59.5,58.0,2812,5.75,5.85,3.45
350,0.7,Good,5,2,63.5,59.0,2812,5.49,5.53,3.5
351,0.7,Very Good,4,3,61.7,58.0,2812,5.63,5.69,3.49
352,0.32,Premium,1,2,62.7,58.0,554,4.37,4.34,2.73
353,0.32,Premium,1,2,62.8,58.0,554,4.39,4.34,2.74
354,0.32,Ideal,1,2,62.4,57.0,554,4.37,4.35,2.72
355,0.32,Premium,1,2,61.0,59.0,554,4.39,4.36,2.67
356,0.32,Very Good,1,2,63.1,56.0,554,4.39,4.36,2.76
357,0.32,Ideal,1,2,60.7,57.0,554,4.47,4.42,2.7
358,0.3,Premium,2,2,60.9,59.0,554,4.31,4.29,2.62
359,0.3,Premium,2,2,60.1,55.0,554,4.41,4.38,2.64
360,0.3,Premium,2,2,62.9,58.0,554,4.28,4.24,2.68
361,0.3,Very Good,2,2,63.3,56.0,554,4.29,4.27,2.71
362,0.3,Good,2,2,63.8,55.0,554,4.26,4.2,2.7
363,0.3,Ideal,2,2,62.9,57.0,554,4.27,4.22,2.67
364,0.3,Very Good,2,2,63.4,60.0,554,4.25,4.23,2.69
365,0.32,Good,1,2,63.9,55.0,554,4.36,4.34,2.78
366,0.33,Ideal,2,1,61.4,56.0,554,4.85,4.79,2.95
367,0.29,Very Good,5,4,61.9,55.0,555,4.28,4.33,2.66
368,0.29,Very Good,5,4,62.4,55.0,555,4.2,4.25,2.63
369,0.31,Very Good,4,2,61.8,58.0,555,4.32,4.35,2.68
370,0.34,Ideal,2,3,61.5,56.0,555,4.47,4.5,2.76
371,0.34,Ideal,2,3,60.4,57.0,555,4.54,4.57,2.75
372,0.34,Ideal,1,4,61.8,55.0,555,4.48,4.52,2.78
373,0.34,Ideal,1,4,62.0,56.0,555,4.5,4.53,2.8
